X,Y,Z
-69.1898,68.9903,-20.5826
-68.6804,68.3357,-21.2120
-69.2233,-69.0393,-20.5379
-69.3542,-69.3629,-20.2921
-68.9903,-69.1898,-20.5826
-68.3357,-68.6804,-21.2120
69.0393,-69.2233,-20.5379
69.3629,-69.3542,-20.2921
69.1898,-68.9903,-20.5826
68.6804,-68.3357,-21.2120
68.6804,-0.8357,-21.2120
68.2609,-0.4162,-21.7120
68.8037,68.6198,-21.0379
68.9347,68.9433,-20.7921
68.5707,68.7702,-21.0826
67.9162,68.2609,-21.7120
-68.6198,68.8037,-21.0379
-68.9433,68.9347,-20.7921
-68.7702,68.5707,-21.0826
-68.2609,67.9162,-21.7120
-68.8037,-68.6198,-21.0379
-68.9347,-68.9433,-20.7921
-68.5707,-68.7702,-21.0826
-67.9162,-68.2609,-21.7120
68.6198,-68.8037,-21.0379
68.9433,-68.9347,-20.7921
68.7702,-68.5707,-21.0826
68.2609,-67.9162,-21.7120
68.2609,-0.4162,-21.7120
67.8413,0.0034,-22.2120
68.3842,68.2002,-21.5379
68.5151,68.5238,-21.2921
68.1512,68.3507,-21.5826
67.4966,67.8413,-22.2120
-68.2002,68.3842,-21.5379
-68.5238,68.5151,-21.2921
-68.3507,68.1512,-21.5826
-67.8413,67.4966,-22.2120
-68.3842,-68.2002,-21.5379
-68.5151,-68.5238,-21.2921
-68.1512,-68.3507,-21.5826
-67.4966,-67.8413,-22.2120
68.2002,-68.3842,-21.5379
68.5238,-68.5151,-21.2921
68.3507,-68.1512,-21.5826
67.8413,-67.4966,-22.2120
67.8413,0.0034,-22.2120
67.4218,0.4229,-22.7120
67.9646,67.7807,-22.0379
68.0956,68.1042,-21.7921
67.7317,67.9311,-22.0826
67.0771,67.4218,-22.7120
-67.7807,67.9646,-22.0379
-68.1042,68.0956,-21.7921
-67.9311,67.7317,-22.0826
-67.4218,67.0771,-22.7120
-67.9646,-67.7807,-22.0379
-68.0956,-68.1042,-21.7921
-67.7317,-67.9311,-22.0826
-67.0771,-67.4218,-22.7120
67.7807,-67.9646,-22.0379
68.1042,-68.0956,-21.7921
67.9311,-67.7317,-22.0826
67.4218,-67.0771,-22.7120
67.4218,0.4229,-22.7120
67.0022,0.8425,-23.2120
67.5451,67.3611,-22.5379
67.6760,67.6847,-22.2921
67.3121,67.5116,-22.5826
66.6575,67.0022,-23.2120
-67.3611,67.5451,-22.5379
-67.6847,67.6760,-22.2921
